author_first_author;year;title;journal;doi;url_pdf;topic_short_code;notes
—;2025;Iridium-Based Anode Catalysts for Water Electrolysis...;—;10.31635/ccschem.025.202506099;—;OER-Ir;"Ir-SAC approach with N–C support; extremely low loading (0.01 mg/cm²) relevant for Ir minimization."
—;2024;Doped TiO2-supported IrO2 electrocatalysts...;CrystEngComm;10.1039/d3ce01036h;—;OER-Ir;"W-doped TiO2 improves IrO2 dispersion and OER mass activity; model supported-Ir system."
—;2023;Current Trends of Iridium-Based Catalysts...;Small Science;10.1002/smsc.202200057;—;OER-Ir;Review summarizing state-of-the-art Ir minimization strategies and support engineering.
—;2023;Engineering Iridium-Based OER Catalysts...;ACS Catalysis;10.1021/acscatal.3c01991;—;OER-Ir;"Detailed structure–performance relations for supported IrO2; provides benchmark IrO2/C values."
—;—;(Generic) Commercial IrO2 Baseline;—;—;—;OER-Ir;Baseline reference for commercial IrO2 activity, Tafel slope, and overpotential.
Li;2023;Ti-Doped SnO? Supports IrO? Electrocatalysts for the OER in PEM Water Electrolysis;ACS Sustainable Chemistry & Engineering;10.1021/acssuschemeng.2c06368;https://pubs.acs.org/doi/pdf/10.1021/acssuschemeng.2c06368?ref=article_openPDF;OER-Ir/Ti–SnO?;Shows how Ti-doping of SnO? improves conductivity/support interaction ? higher Ir utilization.
Ran;2025;Supporting IrO? on stable La, Nb-TiO? with enhanced electron transport for efficient acidic water oxidation;Fuel;10.1016/j.fuel.2024.133451;https://pdf.sciencedirectassets.com/271496/1-s2.0-S0016236124X00228/1-s2.0-S0016236124026000/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEP7%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJIMEYCIQDVAxJSu6qMMGsSmgNcJajiOGIVFP0ZroaqLuA9m45HEwIhALnOF2CWrryUWo3zGpVDezZMBTbjqtlodcBvXgkZ4uYVKrsFCMf%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEQBRoMMDU5MDAzNTQ2ODY1IgwaItOQSX6lr0DxVcoqjwXNS47JF5%2BIAq7B1ldgjk80RdCZZl7w2yq0AP0SAgK6YVvnsNUWRant21HNyaAkrLJCRzmLfp685o1aco%2B8uLx%2BMkoJEpyeCth7JnoDo26ToPo2sKzW0HQoA53U2gEBd87ADt6RLvGq6BiREOyXcVOl3PapBz0jSoHseDhOXpvvthLToFM%2B4UsYHBm7fkHUpUzRCUcUOPMt5IXpu0Ti%2F0osKuUBy6oH275CveGSW9eBwuw%2FQTZC0JMlVlLEtCxYfynSmHLSufXyxf7iFftNLUXn2pV6XaJTLKbzqjguPS0K8D0Ik4vXr0J3NPX0BbRzeRQ18yyYiqg6c5INEkGZ3TBD6tj3c9tyeMIwVtLTYy%2BI%2BbYARsu4o4pPMO2eAPnQqIkdTtNMvkDZmMwLsbY7gltM3d17wxCL02TNHuYA%2BV9ecOnNbHFrpBhjeyQuJiogg7dYRKz%2BPK3UN4DMlDSyrUPW4I636y91X9OSfKpcfDAvHlYYn%2BARRWd42J8UnS%2FbxbTrqnY7OeNfDLodSPhiMp8U5oGHiasrF10Xmqi6VGSL1xWXdbtNn4eh4S01XBxq38qQ3id9IyvqjQhnHcqIFXZR1uaE9OxxEywwRgT3xjrY8OsOnuthzyuFIBNhaqPxMbNWwp8D6Iwd5hhE0UjPcKiFeKDsBGBGLtt3KiGsb28nz9l7yeKW49nIPyrJdZ%2BwP0eHZzesOFTbn1eCiZA3%2FY%2FmCNA9%2Bs7oEB25Yc4vLG94ox2r8Ml%2FsD5aMLRZnis0%2B8dtMZ1H29g9KckmZkJDxK0lsahbhGMuedt%2BYetTVXP71gRPUgpk7ywYusCoNk1cZybr1zbP2GyyDYDLn%2Bjtliw4lTtcjB8j%2BZi17oHYaLqxMLyo4skGOrABIc4oOHqxIH0geXre7%2B6y%2FjaCCdNgKfkk0ZOXVQJK65pbRHnYpQWECtxXehIz%2FDZ4%2Fs50LChov%2FQ4NoCv6aS9cx3rpNIfZo4AdCADQpfxAvBgDHhGNy79IPjrd%2BJlhdgCHE%2BAh6lLN2ZTSFC4qlghTGC5ye2o%2BMardKVZaOjn%2F5uHVNw8g%2BjG9KZUnMc5Aqz2kBYGxmlqK4xPfM%2FTGMpshW2d3rsjveiI4RhCZ9rCqMw%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20251209T225345Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTYZFRFOWQL%2F20251209%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=19142e365f71b148480d3dc7356e44f6ea53579f778f53d9cf75845cbcb68336&hash=2e129443945b4d90e7f5a1c11cab549f3094b20e383c445d94f9e6eaa360e00a&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0016236124026000&tid=spdf-9dfd06c7-1d73-4dc7-9df9-4680ec2e3aa4&sid=5d96ef955beb474b9f39cad21222fcd8c60fgxrqb&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&rh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=0a05560606585e52&rr=9ab81497bb942436&cc=de;OER-Ir/LaNb-TiO?;Demonstrates La/Nb-co-doped TiO? with improved charge transport ? lower ? and better stability.
Belami;2024;Active and highly durable supported catalysts for proton exchange membrane electrolysers;EES Catalysis;10.1039/d4ey00026a;https://pubs.rsc.org/en/content/articlelanding/2024/ey/d4ey00026a;OER-Ir/PEM-Durability;"Broad PEMWE benchmarking; includes Ir supported catalysts with long-term durability insights."
Liu;2024;IrO? nanoparticles supported on submicrometer-sized TiO? for efficient and stable OER;Electrochimica Acta;10.1016/j.electacta.2024.144392;https://pdf.sciencedirectassets.com/271355/1-s2.0-S0013468624X00158/1-s2.0-S0013468624006339/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEP%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJHMEUCIEr8XBkh8Y31wh6DhFIBRNgGPspzT9MHDt3ktUnsEKlrAiEAsZPIDW2GgfuxMdx%2Bqkr3hHPZ3fDteBHmHb2cvyJc9F8quwUIx%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAFGgwwNTkwMDM1NDY4NjUiDF4LK8l2YcX3dEcGdCqPBcLfsdTxpS8vQe%2B%2BpT7Nr5KHPnD8j69Ovoi7QmNNkFIhE0KaVu%2BlwNduRu8HfaCYclhfh6y180skWZwfHZiPa0i3nGGqVdr0%2BMKhQ1BLE0ZuQzjc3Kbch45TucpCgOSAlXm5J3WpPvLhsvKVBluCwS1zpjLtqmSt2l%2FPso%2FIISSUZOHqsj%2FGj4JA7L2sKin1%2BfNlfrd8jz2s2AQsqX9c12r4Thk5j97QHygYfehlaw%2BeBJ%2FtM5aLvPV4rFkNY422%2B%2BT6HkvmdK46OsfACd0wOSJDOB7%2FE1nZNuBpxOxyYymM9RJSXJMsELSUXqwCwmYetKfrfNxSBewih%2FaLTAk4H%2B0tE1F1PkjyNgTEy3mEfMkqqcqgPXNkSy2Uth0F5B6CzTBk4MgDygQoj8arhukxeHxoAbfU9zrSOQAmBiAY%2BaxFQaqAAJmcY%2Fsj0h0KHKhqu5hqk7iECoDOw6UQV2xI3fbFMxH%2FRWwbsnt42Yj%2FKTU9VJkIE8UVpPE97AIj3KxPRffkkgKdKUFGE5CF9kEi%2F4fJnEM11iVQTi5ynqgyvPUkn6TWwCRuvX8NCKQYCzhM1lJzaQHzBx2AF3%2Bsj2eg9P8xmb6oPbXNY9pjGkzP368itAyqEm0Q4C%2BcUYw%2B5VaYZQMITUQ9H4TgHmiw%2BIL4MMOWG6gCGD2wh2Z00wdPGFzXOoUiVQPoZy6r7qNgzStVou01xMwrMwu%2F1gB2ejKQLj3EUpJqFElNbNJwqaUcKXtn5vVOoruWOnER6AlCoQYYJ5Z5f7kQ6YWsQQdxdws8TN4sazC5dRuOZkZHqLQEyN3Q50uDA2OceR1ZaDxYq2%2BFHKCcL%2Fu39X4XgOrVgmobvagW%2BjGDzIgDuPQ9VtQ9cNswi8HiyQY6sQEtn7Tl6QVVsgzz661SsSgJMcfXCmUPOmh%2BhEDs7hlkS9g1Kwl%2B65ZBOnlbT1MRuPbKOeWo8bcG1ZvGbZYHn3UGGaFPta4Q0uAy8S%2B7Uc5PvUutpwVylkp9vQRZI3WJw272UiI4pZEoPKZ0PepZ9Iv0Yy0Mrl1XksKRxxScnvRTa1ogh7%2FZ9KoD2LE%2BYOteDUjIixisM8jro21IJuPMYbAcy8CxGk%2BvIi5uimCoIk%2Bel18%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20251209T225515Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTYSO6HTYA5%2F20251209%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=8e5df6e4db042f13df73e646f8a5ba3aeaa743bcf32ac2ac260e37512844f7b3&hash=5b49941997bff7b0dbfebd81aa9279ccb28c28160cc21551510e0709ac5e9d35&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0013468624006339&tid=spdf-007f725e-988f-481c-988c-4926231805f5&sid=5d96ef955beb474b9f39cad21222fcd8c60fgxrqb&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&rh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=0a05560606585e50&rr=9ab816c6fa392436&cc=de;OER-Ir/TiO?-NP;Sub-micron TiO? improves distribution + stability ? low ? and stable LSV cycling.
Hoffmeister;2024;Photodeposition-based synthesis of TiO?@IrO? core–shell catalyst for PEM electrolysis with low Ir loading;Advanced Science;10.1002/advs.202402991;https://advanced.onlinelibrary.wiley.com/doi/epdf/10.1002/advs.202402991;OER-Ir/TiO?-CoreShell;Core–shell TiO?@IrO? enables extremely low Ir loading with strong PEMWE performance.
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
