paper_sha8,parser,label,model_id,role,mode,n_valid,n_errors,tp,gt_total,recall,precision,f1,in_tokens,out_tokens,eur_per_paper,eur_per_tp,latency_s,temperature,prompt_hash
3432d049,dots,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),raw,21,0,19,19,1.0000,0.9048,0.9500,28509,2065,0.09407,0.00495,8.71,0.0,9f23e7c683a0
3432d049,dots,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),strict,22,0,19,19,1.0000,0.8636,0.9268,29253,3160,0.11089,0.00584,13.37,0.0,9f23e7c683a0
bd86866b,dots,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),raw,3,0,2,2,1.0000,0.6667,0.8000,29407,222,0.07070,0.03535,1.72,0.0,9f23e7c683a0
bd86866b,dots,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),strict,4,1,2,2,1.0000,0.5000,0.6667,30151,688,0.07884,0.03942,3.85,0.0,9f23e7c683a0
bd9811a5,dots,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),raw,13,5,4,8,0.5000,0.3077,0.3810,24682,921,0.06948,0.01737,38.46,0.0,9f23e7c683a0
bd9811a5,dots,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),strict,12,4,4,8,0.5000,0.3333,0.4000,25426,2043,0.08667,0.02167,8.95,0.0,9f23e7c683a0
c6319397,dots,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),raw,9,3,3,4,0.7500,0.3333,0.4615,28507,820,0.07688,0.02563,4.00,0.0,9f23e7c683a0
c6319397,dots,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),strict,13,4,4,4,1.0000,0.3077,0.4706,29251,2345,0.09964,0.02491,10.67,0.0,9f23e7c683a0
c9a68107,dots,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),raw,9,0,4,7,0.5714,0.4444,0.5000,26042,686,0.06936,0.01734,3.87,0.0,9f23e7c683a0
c9a68107,dots,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),strict,12,0,7,7,1.0000,0.5833,0.7368,26786,1579,0.08340,0.01191,10.31,0.0,9f23e7c683a0
3432d049,dots,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),raw,14,0,13,19,0.6842,0.9286,0.7879,28509,1199,0.02464,0.00190,5.23,0.0,9f23e7c683a0
3432d049,dots,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),strict,20,0,18,19,0.9474,0.9000,0.9231,29253,2780,0.03169,0.00176,12.48,0.0,9f23e7c683a0
bd86866b,dots,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),raw,3,0,2,2,1.0000,0.6667,0.8000,29407,241,0.02129,0.01064,2.73,0.0,9f23e7c683a0
bd86866b,dots,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),strict,3,0,2,2,1.0000,0.6667,0.8000,30151,391,0.02242,0.01121,3.73,0.0,9f23e7c683a0
bd9811a5,dots,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),raw,3,0,2,8,0.2500,0.6667,0.3636,24682,251,0.01807,0.00903,2.34,0.0,9f23e7c683a0
bd9811a5,dots,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),strict,12,1,4,8,0.5000,0.3333,0.4000,25426,1750,0.02479,0.00620,6.87,0.0,9f23e7c683a0
c6319397,dots,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),raw,9,0,2,4,0.5000,0.2222,0.3077,28507,489,0.02169,0.01085,4.68,0.0,9f23e7c683a0
c6319397,dots,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),strict,9,0,3,4,0.7500,0.3333,0.4615,29251,1102,0.02475,0.00825,13.36,0.0,9f23e7c683a0
c9a68107,dots,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),raw,6,1,4,7,0.5714,0.6667,0.6154,26042,625,0.02056,0.00514,4.09,0.0,9f23e7c683a0
c9a68107,dots,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),strict,10,0,4,7,0.5714,0.4000,0.4706,26786,1300,0.02386,0.00597,5.60,0.0,9f23e7c683a0
