paper_sha8,parser,label,model_id,role,mode,n_valid,n_errors,tp,gt_total,recall,precision,f1,in_tokens,out_tokens,eur_per_paper,eur_per_tp,latency_s,temperature,prompt_hash
3432d049,docling,deepseek-flash,deepseek-v4-flash,T74 multi-pass,raw,18,0,18,19,0.9474,1.0000,0.9730,38681,2510,0.00563,0.00031,14.32,0,9f23e7c683a0
3432d049,docling,deepseek-flash,deepseek-v4-flash,T74 multi-pass,reason-first,5,15,4,19,0.2105,0.8000,0.3333,38766,3545,0.00591,0.00148,23.08,0.0,9f23e7c683a0
3432d049,docling,deepseek-flash,deepseek-v4-flash,T74 multi-pass,reason-first-16k,21,0,19,19,1.0000,0.9048,0.9500,38766,3939,0.00601,0.00032,27.88,0.0,9f23e7c683a0
3432d049,docling,deepseek-flash,deepseek-v4-flash,T74 multi-pass,union-k3,44,8,18,19,0.9474,0.4091,0.5714,116043,8119,0.01704,0.00095,51.06,0.7,9f23e7c683a0
3432d049,docling,deepseek-flash,deepseek-v4-flash,T74 multi-pass,requery,18,0,18,19,0.9474,1.0000,0.9730,77460,2775,0.01069,0.00059,17.78,0.0,9f23e7c683a0
bd86866b,docling,deepseek-flash,deepseek-v4-flash,T74 multi-pass,raw,3,0,2,2,1.0000,0.6667,0.8000,41187,274,0.00538,0.00269,2.86,0,9f23e7c683a0
bd86866b,docling,deepseek-flash,deepseek-v4-flash,T74 multi-pass,reason-first,0,0,0,2,0.0000,0.0000,0.0000,41272,140,0.00535,,3.00,0.0,9f23e7c683a0
bd86866b,docling,deepseek-flash,deepseek-v4-flash,T74 multi-pass,reason-first-16k,0,0,0,2,0.0000,0.0000,0.0000,41272,193,0.00537,,3.60,0.0,9f23e7c683a0
bd86866b,docling,deepseek-flash,deepseek-v4-flash,T74 multi-pass,union-k3,3,1,2,2,1.0000,0.6667,0.8000,123561,1080,0.01619,0.00810,10.82,0.7,9f23e7c683a0
bd86866b,docling,deepseek-flash,deepseek-v4-flash,T74 multi-pass,requery,3,0,2,2,1.0000,0.6667,0.8000,82489,280,0.01070,0.00535,4.83,0.0,9f23e7c683a0
bd9811a5,docling,deepseek-flash,deepseek-v4-flash,T74 multi-pass,raw,12,2,8,8,1.0000,0.6667,0.8000,32731,1700,0.00465,0.00058,10.02,0,9f23e7c683a0
bd9811a5,docling,deepseek-flash,deepseek-v4-flash,T74 multi-pass,reason-first,1,0,1,8,0.1250,1.0000,0.2222,32816,290,0.00430,0.00430,4.04,0.0,9f23e7c683a0
bd9811a5,docling,deepseek-flash,deepseek-v4-flash,T74 multi-pass,reason-first-16k,1,0,1,8,0.1250,1.0000,0.2222,32816,344,0.00432,0.00432,4.76,0.0,9f23e7c683a0
bd9811a5,docling,deepseek-flash,deepseek-v4-flash,T74 multi-pass,union-k3,14,6,8,8,1.0000,0.5714,0.7273,98193,3827,0.01363,0.00170,24.31,0.7,9f23e7c683a0
bd9811a5,docling,deepseek-flash,deepseek-v4-flash,T74 multi-pass,requery,10,2,7,8,0.8750,0.7000,0.7778,65563,1386,0.00880,0.00126,10.64,0.0,9f23e7c683a0
c6319397,docling,deepseek-flash,deepseek-v4-flash,T74 multi-pass,raw,9,0,4,4,1.0000,0.4444,0.6154,38179,1282,0.00525,0.00131,8.08,0,9f23e7c683a0
c6319397,docling,deepseek-flash,deepseek-v4-flash,T74 multi-pass,reason-first,10,3,4,4,1.0000,0.4000,0.5714,38264,2416,0.00555,0.00139,15.34,0.0,9f23e7c683a0
c6319397,docling,deepseek-flash,deepseek-v4-flash,T74 multi-pass,reason-first-16k,12,3,4,4,1.0000,0.3333,0.5000,38264,2832,0.00566,0.00141,19.10,0.0,9f23e7c683a0
c6319397,docling,deepseek-flash,deepseek-v4-flash,T74 multi-pass,union-k3,9,8,3,4,0.7500,0.3333,0.4615,114537,3412,0.01563,0.00521,22.09,0.7,9f23e7c683a0
c6319397,docling,deepseek-flash,deepseek-v4-flash,T74 multi-pass,requery,13,3,3,4,0.7500,0.2308,0.3529,76457,2019,0.01037,0.00346,13.15,0.0,9f23e7c683a0
c9a68107,docling,deepseek-flash,deepseek-v4-flash,T74 multi-pass,raw,10,0,6,7,0.8571,0.6000,0.7059,35370,1089,0.00484,0.00081,7.05,0,9f23e7c683a0
c9a68107,docling,deepseek-flash,deepseek-v4-flash,T74 multi-pass,reason-first,10,0,7,7,1.0000,0.7000,0.8235,35455,1554,0.00497,0.00071,10.14,0.0,9f23e7c683a0
c9a68107,docling,deepseek-flash,deepseek-v4-flash,T74 multi-pass,reason-first-16k,6,0,6,7,0.8571,1.0000,0.9231,35455,1208,0.00488,0.00081,9.82,0.0,9f23e7c683a0
c9a68107,docling,deepseek-flash,deepseek-v4-flash,T74 multi-pass,union-k3,13,2,6,7,0.8571,0.4615,0.6000,106110,3473,0.01456,0.00243,621.57,0.7,9f23e7c683a0
c9a68107,docling,deepseek-flash,deepseek-v4-flash,T74 multi-pass,requery,10,1,6,7,0.8571,0.6000,0.7059,70858,2240,0.00970,0.00162,13.28,0.0,9f23e7c683a0
3432d049,paddle,deepseek-flash,deepseek-v4-flash,T74 multi-pass,raw,19,0,18,19,0.9474,0.9474,0.9474,31010,2347,0.00460,0.00026,12.95,0,9f23e7c683a0
3432d049,paddle,deepseek-flash,deepseek-v4-flash,T74 multi-pass,reason-first,20,0,18,19,0.9474,0.9000,0.9231,31095,4589,0.00519,0.00029,24.01,0.0,9f23e7c683a0
3432d049,paddle,deepseek-flash,deepseek-v4-flash,T74 multi-pass,reason-first-16k,18,0,18,19,0.9474,1.0000,0.9730,31095,3431,0.00489,0.00027,23.15,0.0,9f23e7c683a0
3432d049,paddle,deepseek-flash,deepseek-v4-flash,T74 multi-pass,union-k3,24,0,19,19,1.0000,0.7917,0.8837,93030,6330,0.01361,0.00072,35.95,0.7,9f23e7c683a0
3432d049,paddle,deepseek-flash,deepseek-v4-flash,T74 multi-pass,requery,19,0,18,19,0.9474,0.9474,0.9474,62118,2460,0.00863,0.00048,14.87,0.0,9f23e7c683a0
bd86866b,paddle,deepseek-flash,deepseek-v4-flash,T74 multi-pass,raw,6,2,2,2,1.0000,0.3333,0.5000,31279,978,0.00428,0.00214,6.33,0,9f23e7c683a0
bd86866b,paddle,deepseek-flash,deepseek-v4-flash,T74 multi-pass,reason-first,2,0,2,2,1.0000,1.0000,1.0000,31364,555,0.00418,0.00209,5.07,0.0,9f23e7c683a0
bd86866b,paddle,deepseek-flash,deepseek-v4-flash,T74 multi-pass,reason-first-16k,1,0,0,2,0.0000,0.0000,0.0000,31364,506,0.00417,,6.94,0.0,9f23e7c683a0
bd86866b,paddle,deepseek-flash,deepseek-v4-flash,T74 multi-pass,union-k3,3,3,2,2,1.0000,0.6667,0.8000,93837,2608,0.01276,0.00638,17.89,0.7,9f23e7c683a0
bd86866b,paddle,deepseek-flash,deepseek-v4-flash,T74 multi-pass,requery,0,1,0,2,0.0000,0.0000,0.0000,62676,561,0.00822,,6.22,0.0,9f23e7c683a0
bd9811a5,paddle,deepseek-flash,deepseek-v4-flash,T74 multi-pass,raw,12,2,6,8,0.7500,0.5000,0.6000,25760,1309,0.00366,0.00061,8.05,0,9f23e7c683a0
