paper_sha8,parser,label,model_id,role,mode,n_valid,n_errors,tp,gt_total,recall,precision,f1,in_tokens,out_tokens,eur_per_paper,eur_per_tp,latency_s,temperature,prompt_hash
3432d049,paddle,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),raw,20,0,19,19,1.0000,0.9500,0.9744,32558,1737,0.09885,0.00520,9.40,0.0,9f23e7c683a0
3432d049,paddle,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),strict,22,0,19,19,1.0000,0.8636,0.9268,33302,2988,0.11783,0.00620,6.14,0.0,9f23e7c683a0
bd86866b,paddle,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),raw,2,0,2,2,1.0000,1.0000,1.0000,32778,169,0.07772,0.03886,1.89,0.0,9f23e7c683a0
bd86866b,paddle,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),strict,5,0,2,2,1.0000,0.4000,0.5714,33522,685,0.08655,0.04328,4.73,0.0,9f23e7c683a0
bd9811a5,paddle,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),raw,4,6,1,8,0.1250,0.2500,0.1667,26443,644,0.06971,0.06971,4.62,0.0,9f23e7c683a0
bd9811a5,paddle,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),strict,12,7,7,8,0.8750,0.5833,0.7000,27187,2372,0.09526,0.01361,10.67,0.0,9f23e7c683a0
c6319397,paddle,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),raw,9,3,3,4,0.7500,0.3333,0.4615,30993,819,0.08259,0.02753,4.82,0.0,9f23e7c683a0
c6319397,paddle,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),strict,11,3,4,4,1.0000,0.3636,0.5333,31737,1902,0.09924,0.02481,8.39,0.0,9f23e7c683a0
c9a68107,paddle,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),raw,10,0,5,7,0.7143,0.5000,0.5882,30472,755,0.08050,0.01610,5.05,0.0,9f23e7c683a0
c9a68107,paddle,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),strict,12,0,7,7,1.0000,0.5833,0.7368,31216,1693,0.09516,0.01359,5.05,0.0,9f23e7c683a0
