author_first_author;year;title;journal;doi;url_pdf;topic_short_code;notes
—;2025;Iridium-Based Anode Catalysts for Water Electrolysis...;—;10.31635/ccschem.025.202506099;—;OER-Ir;Single-atom Ir sites on N–C with extremely low loading.
—;2024;Doped TiO2-supported IrO2 electrocatalysts...;CrystEngComm;10.1039/d3ce01036h;—;OER-Ir;W-doped TiO2 stabilizes and disperses IrO2 for improved mass activity.
—;2023;Current Trends of Iridium-Based Catalysts...;Small Science;10.1002/smsc.202200057;—;OER-Ir;Review on Ir-based catalyst trends, mechanisms, supports.
—;2023;Engineering Iridium-Based OER Catalysts...;ACS Catalysis;10.1021/acscatal.3c01991;—;OER-Ir;Supported IrO2/C benchmark study with structure–performance insights.
—;—;(Generic) Commercial IrO2 Baseline;—;—;—;OER-Ir;Benchmark commercial IrO2 reference metrics (?10, Tafel).
Daniel Böhm;2021;Highly conductive titania supported iridium oxide nanoparticles as OER catalyst;Applied Materials Today;10.1016/j.apmt.2021.101134;https://pdf.sciencedirectassets.com/312330/1-s2.0-S2352940721X00030/1-s2.0-S2352940721001980/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEN7%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJGMEQCIBqEFwt%2Bj8sxvYqTSZfYUm0nWMUQF%2BaxUElNfxEvxdL8AiAxrOTnzbrySlxKh9db3cQkZjAX1YNsXtMbSJVW5d825iq7BQim%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F8BEAUaDDA1OTAwMzU0Njg2NSIMRC5IUERDp2y9GEO4Ko8Ft7niLzw1duA5Iv7TkHXkqr%2BF%2BeKMzG68zTN0VuZmigVpa8S1JfTyUkIxZNJRhbyOR85A7vnGztqd%2F8JAE32ZbZ2I%2Blvf%2BKjgSciAl4hidf1xxOKUZxAvaEMF0WMSbWAUqbsfgFWAa897R%2B5157vXLG27w0l8GnqKkGJu4cigjV5ZVCblVTi%2BLP2fld9%2FYi1uvCUU7Junqt5SCQV0ByKEZdf9K0IO2Gn3oNuZ4HxrtAsKWda8mlb3b5RWZBepOdaZr9zK9a8BiqMTHdiC8FNh5GymjsCiknvzhcNfdMjg5DbxyMfs2heW76%2F0diHvBXvRCW2dU76pohEZQ%2FZKiKDj2gU3wCf6A2DmCDXSlGsjQCYslh5bzlVwVw9n4vidk2tw8P%2BC22MO0ANA2vjdDnJTp2aOpqF6vK8SM8UYrSldeHvKKmeVOZYNvn1%2BkiYPSYJrYXyIad4AspVbat4wyztTN5HDykFMt6sssbnzLKObEY7S%2BNQgiu72sjtWABvXOMVea6a6DeQAPEqruagZcshgNQ84EEW85Oo%2FSHHg4eZyLeFgIwCFvI6UPafloL%2FiVFgflBaw8lW8Ri23IdAcDMOe5d0r59ldfHB5JVosmM37NHVtGjX3NZ6rimZBgCYEIU2htLR2ChInZnGPQ87mxScqLoSY%2BeXC7lZU7LqauFfZLwGyCClJXioizD6v8t9H%2F2wYLhmjp03WAC1I7SDxMU%2BJz2D0zEPBMo7FcTT0LIX7Y5gnmIDiPhOJHG0A07c4MggRSHbZeTpQOx8dGh6mQVEfAB4o3gXmC8k8GWJ32paPf2rGJJhsP%2FeUqJi1498sNTpLmZraKUO%2Fwo6Xan5WuEcYLEBRFueHuNxN3RE7viFb1DCknNvJBjqyAdDCyYXtSDxcdo090Qcom1bSGzq8GTSsqIXdCLgEtu74XpjCDFbYHrBV%2B25s9DTpzrNLujxh31koB7lQ8vW5fnJ2BvvleF%2FtnzT0H5vbnsUN%2FObIrg%2BIvdGSYDyW4Ah4hi7hwAyPjV8I1I01SCkWOQOsd%2F5YfeVMDSb7CyilXrSs%2BdE64BCoGWnZB8t%2Fv7vLxqqR1bPkiEVmzcLhNyDuNeAb%2F74XnuDTI4Kn2fEt%2FLadQFM%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20251208T140135Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTY3V5SPEI4%2F20251208%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=3489b5c52554b8eecc3f2fde22b52804aaadd1563fa0f69e89820b5610942f9e&hash=ef282aa7a091a5bbd148235ae7bcd9503e7713a05c07c7f8dda90ddb0b570e91&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S2352940721001980&tid=spdf-9bc0bf66-a335-4d85-b7ee-f64a935acd33&sid=a2f709459129294c0248773-3dfe86493f7cgxrqb&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&rh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=0a05560605030c04&rr=9aaccba83a88cb0d&cc=de;OER-Ir;Conductive TiO2 support reduces Ir loading while maintaining high PEM OER activity.
Guoqiang Li;2022;Nanostructured IrOx supported on N-doped TiO2 for acidic OER;RSC Advances;10.1039/d2ra05374h;https://pubs.rsc.org/en/content/articlelanding/2022/ra/d2ra05374h;OER-Ir;N-doped TiO2 enhances electronic interaction with IrOx, improving OER kinetics.
Chunyan Wang;2023;Iridium-based catalysts for OER in acidic media: mechanism & progress;Nano Research Energy;10.26599/nre.2023.9120056;https://www.sciopen.com/article/pdf/10.26599/NRE.2023.9120056.pdf;OER-Ir;Comprehensive mechanism + catalyst design review for acidic OER.
Angeliki Banti;2024;IrO2 OER catalysts prepared by optimized photodeposition on TiO2;Molecules;10.3390/molecules29102392;https://www.mdpi.com/1420-3049/29/10/2392;OER-Ir;Improved photodeposition route for IrO2/TiO2 with high uniformity and activity.
Tuan Linh Doan;2024;Development of an oxygen evolution reaction electrocatalyst of TiO2 supported IrO2 (IrO2@TiO2) for enhancing performance and durability of polymer electrolyte membrane water electrolysis;Int. J. Hydrogen Energy;10.1016/j.ijhydene.2025.02.271;https://pdf.sciencedirectassets.com/271472/1-s2.0-S0360319925X00100/1-s2.0-S0360319925008481/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEN7%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJGMEQCIBqEFwt%2Bj8sxvYqTSZfYUm0nWMUQF%2BaxUElNfxEvxdL8AiAxrOTnzbrySlxKh9db3cQkZjAX1YNsXtMbSJVW5d825iq7BQim%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F8BEAUaDDA1OTAwMzU0Njg2NSIMRC5IUERDp2y9GEO4Ko8Ft7niLzw1duA5Iv7TkHXkqr%2BF%2BeKMzG68zTN0VuZmigVpa8S1JfTyUkIxZNJRhbyOR85A7vnGztqd%2F8JAE32ZbZ2I%2Blvf%2BKjgSciAl4hidf1xxOKUZxAvaEMF0WMSbWAUqbsfgFWAa897R%2B5157vXLG27w0l8GnqKkGJu4cigjV5ZVCblVTi%2BLP2fld9%2FYi1uvCUU7Junqt5SCQV0ByKEZdf9K0IO2Gn3oNuZ4HxrtAsKWda8mlb3b5RWZBepOdaZr9zK9a8BiqMTHdiC8FNh5GymjsCiknvzhcNfdMjg5DbxyMfs2heW76%2F0diHvBXvRCW2dU76pohEZQ%2FZKiKDj2gU3wCf6A2DmCDXSlGsjQCYslh5bzlVwVw9n4vidk2tw8P%2BC22MO0ANA2vjdDnJTp2aOpqF6vK8SM8UYrSldeHvKKmeVOZYNvn1%2BkiYPSYJrYXyIad4AspVbat4wyztTN5HDykFMt6sssbnzLKObEY7S%2BNQgiu72sjtWABvXOMVea6a6DeQAPEqruagZcshgNQ84EEW85Oo%2FSHHg4eZyLeFgIwCFvI6UPafloL%2FiVFgflBaw8lW8Ri23IdAcDMOe5d0r59ldfHB5JVosmM37NHVtGjX3NZ6rimZBgCYEIU2htLR2ChInZnGPQ87mxScqLoSY%2BeXC7lZU7LqauFfZLwGyCClJXioizD6v8t9H%2F2wYLhmjp03WAC1I7SDxMU%2BJz2D0zEPBMo7FcTT0LIX7Y5gnmIDiPhOJHG0A07c4MggRSHbZeTpQOx8dGh6mQVEfAB4o3gXmC8k8GWJ32paPf2rGJJhsP%2FeUqJi1498sNTpLmZraKUO%2Fwo6Xan5WuEcYLEBRFueHuNxN3RE7viFb1DCknNvJBjqyAdDCyYXtSDxcdo090Qcom1bSGzq8GTSsqIXdCLgEtu74XpjCDFbYHrBV%2B25s9DTpzrNLujxh31koB7lQ8vW5fnJ2BvvleF%2FtnzT0H5vbnsUN%2FObIrg%2BIvdGSYDyW4Ah4hi7hwAyPjV8I1I01SCkWOQOsd%2F5YfeVMDSb7CyilXrSs%2BdE64BCoGWnZB8t%2Fv7vLxqqR1bPkiEVmzcLhNyDuNeAb%2F74XnuDTI4Kn2fEt%2FLadQFM%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20251208T140401Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTY3V5SPEI4%2F20251208%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=73157dcc492e4a0ab3fe741793773803491b1136dca7cc72fcbf6947e166303f&hash=f1ab49d5b91fee916f84abf7ca0c30656db16c75c2577d51a415733627178c9d&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0360319925008481&tid=spdf-62f14648-dcd5-4a2e-b076-f9cbd4d70303&sid=a2f709459129294c0248773-3dfe86493f7cgxrqb&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&rh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=0a05560605030c00&rr=9aaccf3c1f15cb0d&cc=de;OER-Ir;IrO2@TiO2 composite improves PEMWE durability and activity.
