paper_sha8,parser,label,model_id,role,mode,n_valid,n_errors,tp,gt_total,recall,precision,f1,in_tokens,out_tokens,eur_per_paper,eur_per_tp,latency_s,temperature,prompt_hash
3432d049,mineru,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),raw,22,0,19,19,1.0000,0.8636,0.9268,30303,1821,0.09483,0.00499,9.07,0.0,9f23e7c683a0
3432d049,mineru,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),strict,20,0,19,19,1.0000,0.9500,0.9744,31047,2856,0.11082,0.00583,12.00,0.0,9f23e7c683a0
bd86866b,mineru,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),raw,3,1,2,2,1.0000,0.6667,0.8000,32099,289,0.07782,0.03891,2.15,0.0,9f23e7c683a0
bd86866b,mineru,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),strict,3,0,2,2,1.0000,0.6667,0.8000,32843,460,0.08189,0.04094,3.66,0.0,9f23e7c683a0
bd9811a5,mineru,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),raw,12,4,4,8,0.5000,0.3333,0.4000,25662,943,0.07204,0.01801,4.65,0.0,9f23e7c683a0
bd9811a5,mineru,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),strict,12,4,4,8,0.5000,0.3333,0.4000,26406,1961,0.08780,0.02195,8.79,0.0,9f23e7c683a0
c6319397,mineru,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),raw,9,3,3,4,0.7500,0.3333,0.4615,29980,760,0.07944,0.02648,4.88,0.0,9f23e7c683a0
c6319397,mineru,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),strict,9,3,3,4,0.7500,0.3333,0.4615,30724,1768,0.09506,0.03169,9.32,0.0,9f23e7c683a0
c9a68107,mineru,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),raw,7,0,4,7,0.5714,0.5714,0.5714,28854,503,0.07331,0.01833,3.42,0.0,9f23e7c683a0
c9a68107,mineru,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),strict,13,0,7,7,1.0000,0.5385,0.7000,29598,1830,0.09333,0.01333,9.18,0.0,9f23e7c683a0
3432d049,mineru,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),raw,17,4,14,19,0.7368,0.8235,0.7778,30303,1933,0.02891,0.00207,13.73,0.0,9f23e7c683a0
3432d049,mineru,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),strict,19,0,18,19,0.9474,0.9474,0.9474,31047,2650,0.03239,0.00180,10.14,0.0,9f23e7c683a0
bd86866b,mineru,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),raw,3,1,2,2,1.0000,0.6667,0.8000,32099,273,0.02328,0.01164,3.62,0.0,9f23e7c683a0
bd86866b,mineru,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),strict,3,2,2,2,1.0000,0.6667,0.8000,32843,605,0.02517,0.01258,3.28,0.0,9f23e7c683a0
bd9811a5,mineru,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),raw,5,2,3,8,0.3750,0.6000,0.4615,25662,558,0.02002,0.00667,4.59,0.0,9f23e7c683a0
